run	embeddings	accuracy	precision_macro	recall_macro	f1_score_macro	f1_score_micro
1	glove	0.326359	0.542919	0.822909	0.647995	0.660188
2	glove	0.278899	0.519122	0.832646	0.634449	0.647714
3	glove	0.337675	0.542107	0.817421	0.643026	0.656905
4	glove	0.276457	0.523057	0.826335	0.625531	0.63929
5	glove	0.290296	0.518196	0.833425	0.635026	0.649289
6	glove	0.284516	0.532747	0.848125	0.651611	0.663574
7	glove	0.2662	0.520703	0.835793	0.635472	0.648904
8	glove	0.257896	0.514039	0.85412	0.637363	0.650714
9	glove	0.317649	0.537562	0.817281	0.643953	0.656201
10	glove	0.330837	0.545336	0.79688	0.636343	0.650294
1	ewe_uni	0.258548	0.522434	0.832254	0.63541	0.649281
2	ewe_uni	0.314637	0.524732	0.797924	0.62665	0.640227
3	ewe_uni	0.284516	0.520704	0.843719	0.64059	0.654724
4	ewe_uni	0.305031	0.524806	0.812212	0.63021	0.645964
5	ewe_uni	0.339792	0.536681	0.812575	0.643174	0.65644
6	ewe_uni	0.306171	0.531586	0.825654	0.638974	0.652869
7	ewe_uni	0.27776	0.527996	0.833896	0.643336	0.655693
8	ewe_uni	0.290622	0.52037	0.818738	0.6296	0.643587
9	ewe_uni	0.21182	0.505794	0.864072	0.630298	0.643833
10	ewe_uni	0.244464	0.510912	0.856863	0.635311	0.650209
1	sawe-100	0.28354	0.527092	0.81715	0.632261	0.647434
2	sawe-100	0.300472	0.524453	0.823374	0.636848	0.653309
3	sawe-100	0.330755	0.53253	0.814249	0.640335	0.655015
4	sawe-100	0.330104	0.534794	0.812933	0.642057	0.657598
5	sawe-100	0.278574	0.52006	0.820594	0.629916	0.644624
6	sawe-100	0.30495	0.519862	0.811512	0.628886	0.643751
7	sawe-100	0.292494	0.522257	0.825985	0.633148	0.649299
8	sawe-100	0.297786	0.529237	0.823137	0.642496	0.655946
9	sawe-100	0.280609	0.523655	0.815036	0.625361	0.641189
10	sawe-100	0.264165	0.519617	0.830867	0.631532	0.646434
1	sota	0.271329	0.522765	0.841325	0.6427	0.655994
2	sota	0.258385	0.517365	0.855146	0.639346	0.652556
3	sota	0.272712	0.52093	0.828817	0.624583	0.638599
4	sota	0.246988	0.5122	0.855396	0.630458	0.645425
5	sota	0.262048	0.517585	0.85588	0.640086	0.653237
6	sota	0.267747	0.524213	0.853278	0.642189	0.656322
7	sota	0.31309	0.537488	0.832834	0.647603	0.660597
8	sota	0.293471	0.532394	0.828519	0.641768	0.655556
9	sota	0.31016	0.536725	0.82953	0.647457	0.660623
10	sota	0.306008	0.536824	0.832118	0.647323	0.660281
1	senti_embeddings	0.299088	0.532302	0.83858	0.649103	0.661645
2	senti_embeddings	0.325464	0.537448	0.827197	0.641633	0.65634
3	senti_embeddings	0.3472	0.542535	0.812204	0.638742	0.653659
4	senti_embeddings	0.348502	0.545311	0.812701	0.649896	0.662347
5	senti_embeddings	0.277271	0.522477	0.835857	0.634201	0.646712
6	senti_embeddings	0.23323	0.518933	0.851001	0.631447	0.644653
7	senti_embeddings	0.319928	0.533756	0.817815	0.638532	0.652217
8	senti_embeddings	0.309915	0.527583	0.829372	0.642007	0.653346
9	senti_embeddings	0.293715	0.533241	0.834041	0.646436	0.659629
10	senti_embeddings	0.31016	0.527758	0.8124	0.625916	0.641451
