run	embeddings	accuracy	precision_macro	recall_macro	f1_score_macro	f1_score_micro
1	glove	0.812088	0.817758	0.812234	0.811295	0.812088
2	glove	0.827473	0.829742	0.827563	0.827202	0.827473
3	glove	0.825275	0.825408	0.825252	0.825249	0.825275
4	glove	0.807692	0.816956	0.80788	0.806342	0.807692
5	glove	0.825275	0.827652	0.825368	0.824985	0.825275
6	glove	0.807143	0.817268	0.807339	0.80566	0.807143
7	glove	0.828571	0.830729	0.82866	0.828317	0.828571
8	glove	0.801648	0.813176	0.801859	0.799882	0.801648
9	glove	0.812637	0.814986	0.812732	0.812319	0.812637
10	glove	0.832967	0.835273	0.833058	0.832705	0.832967
1	ewe_uni	0.821429	0.822503	0.821492	0.821299	0.821429
2	ewe_uni	0.806044	0.82703	0.806322	0.802979	0.806044
3	ewe_uni	0.829121	0.833022	0.82924	0.828654	0.829121
4	ewe_uni	0.816484	0.81944	0.816589	0.816092	0.816484
5	ewe_uni	0.826923	0.826994	0.826907	0.826908	0.826923
6	ewe_uni	0.811538	0.824599	0.811759	0.809698	0.811538
7	ewe_uni	0.828022	0.828414	0.827984	0.827958	0.828022
8	ewe_uni	0.834615	0.835096	0.834657	0.834567	0.834615
9	ewe_uni	0.829121	0.82912	0.829121	0.82912	0.829121
10	ewe_uni	0.829121	0.834228	0.829257	0.828506	0.829121
1	sawe-100	0.815934	0.818119	0.815843	0.815587	0.815934
2	sawe-100	0.824725	0.824905	0.824699	0.824692	0.824725
3	sawe-100	0.823626	0.824627	0.823687	0.823509	0.823626
4	sawe-100	0.822527	0.822691	0.822552	0.822512	0.822527
5	sawe-100	0.814835	0.824689	0.815026	0.813482	0.814835
6	sawe-100	0.828022	0.828021	0.828022	0.828022	0.828022
7	sawe-100	0.818681	0.824863	0.818833	0.817863	0.818681
8	sawe-100	0.814835	0.81508	0.814804	0.814788	0.814835
9	sawe-100	0.79011	0.810577	0.790391	0.786703	0.79011
10	sawe-100	0.815934	0.816339	0.815973	0.815887	0.815934
1	sota	0.806044	0.806154	0.806022	0.806018	0.806044
2	sota	0.815385	0.815513	0.815362	0.815358	0.815385
3	sota	0.80989	0.811353	0.809814	0.80964	0.80989
4	sota	0.812637	0.812696	0.812652	0.812633	0.812637
5	sota	0.804396	0.808877	0.804527	0.80373	0.804396
6	sota	0.802198	0.81229	0.802395	0.800657	0.802198
7	sota	0.809341	0.813167	0.809462	0.808798	0.809341
8	sota	0.828022	0.828065	0.828034	0.828019	0.828022
9	sota	0.82033	0.82185	0.820405	0.820141	0.82033
10	sota	0.806593	0.809461	0.806699	0.806181	0.806593
1	senti_embeddings	0.821978	0.823014	0.82204	0.821854	0.821978
2	senti_embeddings	0.824176	0.824211	0.824187	0.824174	0.824176
3	senti_embeddings	0.824176	0.832208	0.824346	0.823159	0.824176
4	senti_embeddings	0.826374	0.826434	0.826358	0.82636	0.826374
5	senti_embeddings	0.82967	0.829698	0.82966	0.829663	0.82967
6	senti_embeddings	0.829121	0.830058	0.829179	0.829016	0.829121
7	senti_embeddings	0.826374	0.826445	0.82639	0.826368	0.826374
8	senti_embeddings	0.817033	0.826197	0.817217	0.815798	0.817033
9	senti_embeddings	0.824725	0.829409	0.824856	0.82414	0.824725
10	senti_embeddings	0.82967	0.830172	0.829713	0.829618	0.82967
